[2021-03-21 20:24:40.280] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00001\u0000/node_modules\u0000/opt/lampp/htdocs/lsapp/node_modules\u0000.gitignore\u00003\u0000/public/storage\u0000/opt/lampp/htdocs/lsapp/public/storage\u0000","stderr":"fatal: pathspec '/opt/lampp/htdocs/lsapp/public/storage/cover_images' is beyond a symbolic link\n","exitCode":128}
[2021-03-21 20:24:40.280] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00001\u0000/node_modules\u0000/opt/lampp/htdocs/lsapp/node_modules\u0000.gitignore\u00003\u0000/public/storage\u0000/opt/lampp/htdocs/lsapp/public/storage\u0000","stderr":"fatal: pathspec '/opt/lampp/htdocs/lsapp/public/storage/cover_images' is beyond a symbolic link\n","exitCode":128}
[2021-03-21 20:24:40.280] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00001\u0000/node_modules\u0000/opt/lampp/htdocs/lsapp/node_modules\u0000.gitignore\u00003\u0000/public/storage\u0000/opt/lampp/htdocs/lsapp/public/storage\u0000","stderr":"fatal: pathspec '/opt/lampp/htdocs/lsapp/public/storage/cover_images' is beyond a symbolic link\n","exitCode":128}
[2021-03-21 20:24:40.280] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00001\u0000/node_modules\u0000/opt/lampp/htdocs/lsapp/node_modules\u0000.gitignore\u00003\u0000/public/storage\u0000/opt/lampp/htdocs/lsapp/public/storage\u0000","stderr":"fatal: pathspec '/opt/lampp/htdocs/lsapp/public/storage/cover_images' is beyond a symbolic link\n","exitCode":128}
[2021-03-21 20:24:40.280] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00001\u0000/node_modules\u0000/opt/lampp/htdocs/lsapp/node_modules\u0000.gitignore\u00003\u0000/public/storage\u0000/opt/lampp/htdocs/lsapp/public/storage\u0000","stderr":"fatal: pathspec '/opt/lampp/htdocs/lsapp/public/storage/cover_images' is beyond a symbolic link\n","exitCode":128}
[2021-03-21 20:24:40.280] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00001\u0000/node_modules\u0000/opt/lampp/htdocs/lsapp/node_modules\u0000.gitignore\u00003\u0000/public/storage\u0000/opt/lampp/htdocs/lsapp/public/storage\u0000","stderr":"fatal: pathspec '/opt/lampp/htdocs/lsapp/public/storage/cover_images' is beyond a symbolic link\n","exitCode":128}
[2021-03-21 20:24:40.280] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00001\u0000/node_modules\u0000/opt/lampp/htdocs/lsapp/node_modules\u0000.gitignore\u00003\u0000/public/storage\u0000/opt/lampp/htdocs/lsapp/public/storage\u0000","stderr":"fatal: pathspec '/opt/lampp/htdocs/lsapp/public/storage/cover_images' is beyond a symbolic link\n","exitCode":128}
[2021-03-21 20:24:40.280] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00001\u0000/node_modules\u0000/opt/lampp/htdocs/lsapp/node_modules\u0000.gitignore\u00003\u0000/public/storage\u0000/opt/lampp/htdocs/lsapp/public/storage\u0000","stderr":"fatal: pathspec '/opt/lampp/htdocs/lsapp/public/storage/cover_images' is beyond a symbolic link\n","exitCode":128}
[2021-03-21 20:24:40.280] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00001\u0000/node_modules\u0000/opt/lampp/htdocs/lsapp/node_modules\u0000.gitignore\u00003\u0000/public/storage\u0000/opt/lampp/htdocs/lsapp/public/storage\u0000","stderr":"fatal: pathspec '/opt/lampp/htdocs/lsapp/public/storage/cover_images' is beyond a symbolic link\n","exitCode":128}
[2021-03-21 20:24:40.280] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00001\u0000/node_modules\u0000/opt/lampp/htdocs/lsapp/node_modules\u0000.gitignore\u00003\u0000/public/storage\u0000/opt/lampp/htdocs/lsapp/public/storage\u0000","stderr":"fatal: pathspec '/opt/lampp/htdocs/lsapp/public/storage/cover_images' is beyond a symbolic link\n","exitCode":128}
[2021-03-21 20:24:40.280] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00001\u0000/node_modules\u0000/opt/lampp/htdocs/lsapp/node_modules\u0000.gitignore\u00003\u0000/public/storage\u0000/opt/lampp/htdocs/lsapp/public/storage\u0000","stderr":"fatal: pathspec '/opt/lampp/htdocs/lsapp/public/storage/cover_images' is beyond a symbolic link\n","exitCode":128}
[2021-03-21 20:24:40.280] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00001\u0000/node_modules\u0000/opt/lampp/htdocs/lsapp/node_modules\u0000.gitignore\u00003\u0000/public/storage\u0000/opt/lampp/htdocs/lsapp/public/storage\u0000","stderr":"fatal: pathspec '/opt/lampp/htdocs/lsapp/public/storage/cover_images' is beyond a symbolic link\n","exitCode":128}
[2021-03-21 20:24:40.280] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00001\u0000/node_modules\u0000/opt/lampp/htdocs/lsapp/node_modules\u0000.gitignore\u00003\u0000/public/storage\u0000/opt/lampp/htdocs/lsapp/public/storage\u0000","stderr":"fatal: pathspec '/opt/lampp/htdocs/lsapp/public/storage/cover_images' is beyond a symbolic link\n","exitCode":128}
[2021-03-21 20:24:40.280] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00001\u0000/node_modules\u0000/opt/lampp/htdocs/lsapp/node_modules\u0000.gitignore\u00003\u0000/public/storage\u0000/opt/lampp/htdocs/lsapp/public/storage\u0000","stderr":"fatal: pathspec '/opt/lampp/htdocs/lsapp/public/storage/cover_images' is beyond a symbolic link\n","exitCode":128}
[2021-03-21 20:24:40.280] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00001\u0000/node_modules\u0000/opt/lampp/htdocs/lsapp/node_modules\u0000.gitignore\u00003\u0000/public/storage\u0000/opt/lampp/htdocs/lsapp/public/storage\u0000","stderr":"fatal: pathspec '/opt/lampp/htdocs/lsapp/public/storage/cover_images' is beyond a symbolic link\n","exitCode":128}
[2021-03-21 20:24:40.280] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00001\u0000/node_modules\u0000/opt/lampp/htdocs/lsapp/node_modules\u0000.gitignore\u00003\u0000/public/storage\u0000/opt/lampp/htdocs/lsapp/public/storage\u0000","stderr":"fatal: pathspec '/opt/lampp/htdocs/lsapp/public/storage/cover_images' is beyond a symbolic link\n","exitCode":128}
[2021-03-21 20:24:40.280] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00001\u0000/node_modules\u0000/opt/lampp/htdocs/lsapp/node_modules\u0000.gitignore\u00003\u0000/public/storage\u0000/opt/lampp/htdocs/lsapp/public/storage\u0000","stderr":"fatal: pathspec '/opt/lampp/htdocs/lsapp/public/storage/cover_images' is beyond a symbolic link\n","exitCode":128}
[2021-03-21 20:24:40.280] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00001\u0000/node_modules\u0000/opt/lampp/htdocs/lsapp/node_modules\u0000.gitignore\u00003\u0000/public/storage\u0000/opt/lampp/htdocs/lsapp/public/storage\u0000","stderr":"fatal: pathspec '/opt/lampp/htdocs/lsapp/public/storage/cover_images' is beyond a symbolic link\n","exitCode":128}
[2021-03-21 20:24:40.280] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00001\u0000/node_modules\u0000/opt/lampp/htdocs/lsapp/node_modules\u0000.gitignore\u00003\u0000/public/storage\u0000/opt/lampp/htdocs/lsapp/public/storage\u0000","stderr":"fatal: pathspec '/opt/lampp/htdocs/lsapp/public/storage/cover_images' is beyond a symbolic link\n","exitCode":128}
[2021-03-21 20:24:40.280] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00001\u0000/node_modules\u0000/opt/lampp/htdocs/lsapp/node_modules\u0000.gitignore\u00003\u0000/public/storage\u0000/opt/lampp/htdocs/lsapp/public/storage\u0000","stderr":"fatal: pathspec '/opt/lampp/htdocs/lsapp/public/storage/cover_images' is beyond a symbolic link\n","exitCode":128}
[2021-03-21 20:24:40.280] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00001\u0000/node_modules\u0000/opt/lampp/htdocs/lsapp/node_modules\u0000.gitignore\u00003\u0000/public/storage\u0000/opt/lampp/htdocs/lsapp/public/storage\u0000","stderr":"fatal: pathspec '/opt/lampp/htdocs/lsapp/public/storage/cover_images' is beyond a symbolic link\n","exitCode":128}
[2021-03-21 20:24:40.280] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00001\u0000/node_modules\u0000/opt/lampp/htdocs/lsapp/node_modules\u0000.gitignore\u00003\u0000/public/storage\u0000/opt/lampp/htdocs/lsapp/public/storage\u0000","stderr":"fatal: pathspec '/opt/lampp/htdocs/lsapp/public/storage/cover_images' is beyond a symbolic link\n","exitCode":128}
[2021-03-21 20:24:40.280] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00001\u0000/node_modules\u0000/opt/lampp/htdocs/lsapp/node_modules\u0000.gitignore\u00003\u0000/public/storage\u0000/opt/lampp/htdocs/lsapp/public/storage\u0000","stderr":"fatal: pathspec '/opt/lampp/htdocs/lsapp/public/storage/cover_images' is beyond a symbolic link\n","exitCode":128}
[2021-03-21 20:24:40.280] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00001\u0000/node_modules\u0000/opt/lampp/htdocs/lsapp/node_modules\u0000.gitignore\u00003\u0000/public/storage\u0000/opt/lampp/htdocs/lsapp/public/storage\u0000","stderr":"fatal: pathspec '/opt/lampp/htdocs/lsapp/public/storage/cover_images' is beyond a symbolic link\n","exitCode":128}
[2021-03-21 20:24:40.280] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00001\u0000/node_modules\u0000/opt/lampp/htdocs/lsapp/node_modules\u0000.gitignore\u00003\u0000/public/storage\u0000/opt/lampp/htdocs/lsapp/public/storage\u0000","stderr":"fatal: pathspec '/opt/lampp/htdocs/lsapp/public/storage/cover_images' is beyond a symbolic link\n","exitCode":128}
[2021-03-21 20:24:40.280] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00001\u0000/node_modules\u0000/opt/lampp/htdocs/lsapp/node_modules\u0000.gitignore\u00003\u0000/public/storage\u0000/opt/lampp/htdocs/lsapp/public/storage\u0000","stderr":"fatal: pathspec '/opt/lampp/htdocs/lsapp/public/storage/cover_images' is beyond a symbolic link\n","exitCode":128}
[2021-03-21 20:24:40.280] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00001\u0000/node_modules\u0000/opt/lampp/htdocs/lsapp/node_modules\u0000.gitignore\u00003\u0000/public/storage\u0000/opt/lampp/htdocs/lsapp/public/storage\u0000","stderr":"fatal: pathspec '/opt/lampp/htdocs/lsapp/public/storage/cover_images' is beyond a symbolic link\n","exitCode":128}
[2021-03-21 20:24:40.280] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00001\u0000/node_modules\u0000/opt/lampp/htdocs/lsapp/node_modules\u0000.gitignore\u00003\u0000/public/storage\u0000/opt/lampp/htdocs/lsapp/public/storage\u0000","stderr":"fatal: pathspec '/opt/lampp/htdocs/lsapp/public/storage/cover_images' is beyond a symbolic link\n","exitCode":128}
[2021-03-21 20:24:40.280] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00001\u0000/node_modules\u0000/opt/lampp/htdocs/lsapp/node_modules\u0000.gitignore\u00003\u0000/public/storage\u0000/opt/lampp/htdocs/lsapp/public/storage\u0000","stderr":"fatal: pathspec '/opt/lampp/htdocs/lsapp/public/storage/cover_images' is beyond a symbolic link\n","exitCode":128}
[2021-03-21 20:24:40.280] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00001\u0000/node_modules\u0000/opt/lampp/htdocs/lsapp/node_modules\u0000.gitignore\u00003\u0000/public/storage\u0000/opt/lampp/htdocs/lsapp/public/storage\u0000","stderr":"fatal: pathspec '/opt/lampp/htdocs/lsapp/public/storage/cover_images' is beyond a symbolic link\n","exitCode":128}
[2021-03-21 20:24:40.280] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00001\u0000/node_modules\u0000/opt/lampp/htdocs/lsapp/node_modules\u0000.gitignore\u00003\u0000/public/storage\u0000/opt/lampp/htdocs/lsapp/public/storage\u0000","stderr":"fatal: pathspec '/opt/lampp/htdocs/lsapp/public/storage/cover_images' is beyond a symbolic link\n","exitCode":128}
[2021-03-21 20:24:40.280] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00001\u0000/node_modules\u0000/opt/lampp/htdocs/lsapp/node_modules\u0000.gitignore\u00003\u0000/public/storage\u0000/opt/lampp/htdocs/lsapp/public/storage\u0000","stderr":"fatal: pathspec '/opt/lampp/htdocs/lsapp/public/storage/cover_images' is beyond a symbolic link\n","exitCode":128}
[2021-03-21 20:24:40.280] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00001\u0000/node_modules\u0000/opt/lampp/htdocs/lsapp/node_modules\u0000.gitignore\u00003\u0000/public/storage\u0000/opt/lampp/htdocs/lsapp/public/storage\u0000","stderr":"fatal: pathspec '/opt/lampp/htdocs/lsapp/public/storage/cover_images' is beyond a symbolic link\n","exitCode":128}
[2021-03-21 20:24:40.280] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00001\u0000/node_modules\u0000/opt/lampp/htdocs/lsapp/node_modules\u0000.gitignore\u00003\u0000/public/storage\u0000/opt/lampp/htdocs/lsapp/public/storage\u0000","stderr":"fatal: pathspec '/opt/lampp/htdocs/lsapp/public/storage/cover_images' is beyond a symbolic link\n","exitCode":128}
[2021-03-21 20:24:40.280] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00001\u0000/node_modules\u0000/opt/lampp/htdocs/lsapp/node_modules\u0000.gitignore\u00003\u0000/public/storage\u0000/opt/lampp/htdocs/lsapp/public/storage\u0000","stderr":"fatal: pathspec '/opt/lampp/htdocs/lsapp/public/storage/cover_images' is beyond a symbolic link\n","exitCode":128}
[2021-03-21 20:24:40.280] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00001\u0000/node_modules\u0000/opt/lampp/htdocs/lsapp/node_modules\u0000.gitignore\u00003\u0000/public/storage\u0000/opt/lampp/htdocs/lsapp/public/storage\u0000","stderr":"fatal: pathspec '/opt/lampp/htdocs/lsapp/public/storage/cover_images' is beyond a symbolic link\n","exitCode":128}
[2021-03-21 20:24:40.280] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00001\u0000/node_modules\u0000/opt/lampp/htdocs/lsapp/node_modules\u0000.gitignore\u00003\u0000/public/storage\u0000/opt/lampp/htdocs/lsapp/public/storage\u0000","stderr":"fatal: pathspec '/opt/lampp/htdocs/lsapp/public/storage/cover_images' is beyond a symbolic link\n","exitCode":128}
[2021-03-21 20:24:40.280] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00001\u0000/node_modules\u0000/opt/lampp/htdocs/lsapp/node_modules\u0000.gitignore\u00003\u0000/public/storage\u0000/opt/lampp/htdocs/lsapp/public/storage\u0000","stderr":"fatal: pathspec '/opt/lampp/htdocs/lsapp/public/storage/cover_images' is beyond a symbolic link\n","exitCode":128}
[2021-03-21 20:24:40.280] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00001\u0000/node_modules\u0000/opt/lampp/htdocs/lsapp/node_modules\u0000.gitignore\u00003\u0000/public/storage\u0000/opt/lampp/htdocs/lsapp/public/storage\u0000","stderr":"fatal: pathspec '/opt/lampp/htdocs/lsapp/public/storage/cover_images' is beyond a symbolic link\n","exitCode":128}
[2021-03-21 20:24:40.280] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00001\u0000/node_modules\u0000/opt/lampp/htdocs/lsapp/node_modules\u0000.gitignore\u00003\u0000/public/storage\u0000/opt/lampp/htdocs/lsapp/public/storage\u0000","stderr":"fatal: pathspec '/opt/lampp/htdocs/lsapp/public/storage/cover_images' is beyond a symbolic link\n","exitCode":128}
[2021-03-21 20:24:40.280] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00001\u0000/node_modules\u0000/opt/lampp/htdocs/lsapp/node_modules\u0000.gitignore\u00003\u0000/public/storage\u0000/opt/lampp/htdocs/lsapp/public/storage\u0000","stderr":"fatal: pathspec '/opt/lampp/htdocs/lsapp/public/storage/cover_images' is beyond a symbolic link\n","exitCode":128}
[2021-03-21 20:24:40.280] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00001\u0000/node_modules\u0000/opt/lampp/htdocs/lsapp/node_modules\u0000.gitignore\u00003\u0000/public/storage\u0000/opt/lampp/htdocs/lsapp/public/storage\u0000","stderr":"fatal: pathspec '/opt/lampp/htdocs/lsapp/public/storage/cover_images' is beyond a symbolic link\n","exitCode":128}
[2021-03-21 20:24:40.280] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00001\u0000/node_modules\u0000/opt/lampp/htdocs/lsapp/node_modules\u0000.gitignore\u00003\u0000/public/storage\u0000/opt/lampp/htdocs/lsapp/public/storage\u0000","stderr":"fatal: pathspec '/opt/lampp/htdocs/lsapp/public/storage/cover_images' is beyond a symbolic link\n","exitCode":128}
[2021-03-21 20:24:40.280] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00001\u0000/node_modules\u0000/opt/lampp/htdocs/lsapp/node_modules\u0000.gitignore\u00003\u0000/public/storage\u0000/opt/lampp/htdocs/lsapp/public/storage\u0000","stderr":"fatal: pathspec '/opt/lampp/htdocs/lsapp/public/storage/cover_images' is beyond a symbolic link\n","exitCode":128}
[2021-03-21 20:24:40.280] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00001\u0000/node_modules\u0000/opt/lampp/htdocs/lsapp/node_modules\u0000.gitignore\u00003\u0000/public/storage\u0000/opt/lampp/htdocs/lsapp/public/storage\u0000","stderr":"fatal: pathspec '/opt/lampp/htdocs/lsapp/public/storage/cover_images' is beyond a symbolic link\n","exitCode":128}
[2021-03-21 20:24:40.281] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00001\u0000/node_modules\u0000/opt/lampp/htdocs/lsapp/node_modules\u0000.gitignore\u00003\u0000/public/storage\u0000/opt/lampp/htdocs/lsapp/public/storage\u0000","stderr":"fatal: pathspec '/opt/lampp/htdocs/lsapp/public/storage/cover_images' is beyond a symbolic link\n","exitCode":128}
[2021-03-21 20:24:40.281] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00001\u0000/node_modules\u0000/opt/lampp/htdocs/lsapp/node_modules\u0000.gitignore\u00003\u0000/public/storage\u0000/opt/lampp/htdocs/lsapp/public/storage\u0000","stderr":"fatal: pathspec '/opt/lampp/htdocs/lsapp/public/storage/cover_images' is beyond a symbolic link\n","exitCode":128}
[2021-03-21 20:24:40.281] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00001\u0000/node_modules\u0000/opt/lampp/htdocs/lsapp/node_modules\u0000.gitignore\u00003\u0000/public/storage\u0000/opt/lampp/htdocs/lsapp/public/storage\u0000","stderr":"fatal: pathspec '/opt/lampp/htdocs/lsapp/public/storage/cover_images' is beyond a symbolic link\n","exitCode":128}
[2021-03-21 20:24:40.281] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00001\u0000/node_modules\u0000/opt/lampp/htdocs/lsapp/node_modules\u0000.gitignore\u00003\u0000/public/storage\u0000/opt/lampp/htdocs/lsapp/public/storage\u0000","stderr":"fatal: pathspec '/opt/lampp/htdocs/lsapp/public/storage/cover_images' is beyond a symbolic link\n","exitCode":128}
[2021-03-21 20:24:40.281] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00001\u0000/node_modules\u0000/opt/lampp/htdocs/lsapp/node_modules\u0000.gitignore\u00003\u0000/public/storage\u0000/opt/lampp/htdocs/lsapp/public/storage\u0000","stderr":"fatal: pathspec '/opt/lampp/htdocs/lsapp/public/storage/cover_images' is beyond a symbolic link\n","exitCode":128}
[2021-03-21 20:24:40.281] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00001\u0000/node_modules\u0000/opt/lampp/htdocs/lsapp/node_modules\u0000.gitignore\u00003\u0000/public/storage\u0000/opt/lampp/htdocs/lsapp/public/storage\u0000","stderr":"fatal: pathspec '/opt/lampp/htdocs/lsapp/public/storage/cover_images' is beyond a symbolic link\n","exitCode":128}
[2021-03-21 20:24:40.281] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00001\u0000/node_modules\u0000/opt/lampp/htdocs/lsapp/node_modules\u0000.gitignore\u00003\u0000/public/storage\u0000/opt/lampp/htdocs/lsapp/public/storage\u0000","stderr":"fatal: pathspec '/opt/lampp/htdocs/lsapp/public/storage/cover_images' is beyond a symbolic link\n","exitCode":128}
[2021-03-21 20:24:40.281] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00001\u0000/node_modules\u0000/opt/lampp/htdocs/lsapp/node_modules\u0000.gitignore\u00003\u0000/public/storage\u0000/opt/lampp/htdocs/lsapp/public/storage\u0000","stderr":"fatal: pathspec '/opt/lampp/htdocs/lsapp/public/storage/cover_images' is beyond a symbolic link\n","exitCode":128}
[2021-03-21 20:24:40.281] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00001\u0000/node_modules\u0000/opt/lampp/htdocs/lsapp/node_modules\u0000.gitignore\u00003\u0000/public/storage\u0000/opt/lampp/htdocs/lsapp/public/storage\u0000","stderr":"fatal: pathspec '/opt/lampp/htdocs/lsapp/public/storage/cover_images' is beyond a symbolic link\n","exitCode":128}
[2021-03-21 20:24:40.281] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00001\u0000/node_modules\u0000/opt/lampp/htdocs/lsapp/node_modules\u0000.gitignore\u00003\u0000/public/storage\u0000/opt/lampp/htdocs/lsapp/public/storage\u0000","stderr":"fatal: pathspec '/opt/lampp/htdocs/lsapp/public/storage/cover_images' is beyond a symbolic link\n","exitCode":128}
[2021-03-21 20:24:40.281] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00001\u0000/node_modules\u0000/opt/lampp/htdocs/lsapp/node_modules\u0000.gitignore\u00003\u0000/public/storage\u0000/opt/lampp/htdocs/lsapp/public/storage\u0000","stderr":"fatal: pathspec '/opt/lampp/htdocs/lsapp/public/storage/cover_images' is beyond a symbolic link\n","exitCode":128}
[2021-03-21 20:24:40.281] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00001\u0000/node_modules\u0000/opt/lampp/htdocs/lsapp/node_modules\u0000.gitignore\u00003\u0000/public/storage\u0000/opt/lampp/htdocs/lsapp/public/storage\u0000","stderr":"fatal: pathspec '/opt/lampp/htdocs/lsapp/public/storage/cover_images' is beyond a symbolic link\n","exitCode":128}
[2021-03-21 20:24:40.281] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00001\u0000/node_modules\u0000/opt/lampp/htdocs/lsapp/node_modules\u0000.gitignore\u00003\u0000/public/storage\u0000/opt/lampp/htdocs/lsapp/public/storage\u0000","stderr":"fatal: pathspec '/opt/lampp/htdocs/lsapp/public/storage/cover_images' is beyond a symbolic link\n","exitCode":128}
[2021-03-21 20:24:40.281] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00001\u0000/node_modules\u0000/opt/lampp/htdocs/lsapp/node_modules\u0000.gitignore\u00003\u0000/public/storage\u0000/opt/lampp/htdocs/lsapp/public/storage\u0000","stderr":"fatal: pathspec '/opt/lampp/htdocs/lsapp/public/storage/cover_images' is beyond a symbolic link\n","exitCode":128}
[2021-03-21 20:24:40.281] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00001\u0000/node_modules\u0000/opt/lampp/htdocs/lsapp/node_modules\u0000.gitignore\u00003\u0000/public/storage\u0000/opt/lampp/htdocs/lsapp/public/storage\u0000","stderr":"fatal: pathspec '/opt/lampp/htdocs/lsapp/public/storage/cover_images' is beyond a symbolic link\n","exitCode":128}
[2021-03-21 20:24:40.281] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00001\u0000/node_modules\u0000/opt/lampp/htdocs/lsapp/node_modules\u0000.gitignore\u00003\u0000/public/storage\u0000/opt/lampp/htdocs/lsapp/public/storage\u0000","stderr":"fatal: pathspec '/opt/lampp/htdocs/lsapp/public/storage/cover_images' is beyond a symbolic link\n","exitCode":128}
[2021-03-21 20:24:40.281] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00001\u0000/node_modules\u0000/opt/lampp/htdocs/lsapp/node_modules\u0000.gitignore\u00003\u0000/public/storage\u0000/opt/lampp/htdocs/lsapp/public/storage\u0000","stderr":"fatal: pathspec '/opt/lampp/htdocs/lsapp/public/storage/cover_images' is beyond a symbolic link\n","exitCode":128}
[2021-03-21 20:24:40.281] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00001\u0000/node_modules\u0000/opt/lampp/htdocs/lsapp/node_modules\u0000.gitignore\u00003\u0000/public/storage\u0000/opt/lampp/htdocs/lsapp/public/storage\u0000","stderr":"fatal: pathspec '/opt/lampp/htdocs/lsapp/public/storage/cover_images' is beyond a symbolic link\n","exitCode":128}
[2021-03-21 20:24:40.281] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00001\u0000/node_modules\u0000/opt/lampp/htdocs/lsapp/node_modules\u0000.gitignore\u00003\u0000/public/storage\u0000/opt/lampp/htdocs/lsapp/public/storage\u0000","stderr":"fatal: pathspec '/opt/lampp/htdocs/lsapp/public/storage/cover_images' is beyond a symbolic link\n","exitCode":128}
[2021-03-21 20:24:40.281] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00001\u0000/node_modules\u0000/opt/lampp/htdocs/lsapp/node_modules\u0000.gitignore\u00003\u0000/public/storage\u0000/opt/lampp/htdocs/lsapp/public/storage\u0000","stderr":"fatal: pathspec '/opt/lampp/htdocs/lsapp/public/storage/cover_images' is beyond a symbolic link\n","exitCode":128}
[2021-03-21 20:24:40.281] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00001\u0000/node_modules\u0000/opt/lampp/htdocs/lsapp/node_modules\u0000.gitignore\u00003\u0000/public/storage\u0000/opt/lampp/htdocs/lsapp/public/storage\u0000","stderr":"fatal: pathspec '/opt/lampp/htdocs/lsapp/public/storage/cover_images' is beyond a symbolic link\n","exitCode":128}
[2021-03-21 20:24:40.281] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00001\u0000/node_modules\u0000/opt/lampp/htdocs/lsapp/node_modules\u0000.gitignore\u00003\u0000/public/storage\u0000/opt/lampp/htdocs/lsapp/public/storage\u0000","stderr":"fatal: pathspec '/opt/lampp/htdocs/lsapp/public/storage/cover_images' is beyond a symbolic link\n","exitCode":128}
[2021-03-21 20:24:40.281] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00001\u0000/node_modules\u0000/opt/lampp/htdocs/lsapp/node_modules\u0000.gitignore\u00003\u0000/public/storage\u0000/opt/lampp/htdocs/lsapp/public/storage\u0000","stderr":"fatal: pathspec '/opt/lampp/htdocs/lsapp/public/storage/cover_images' is beyond a symbolic link\n","exitCode":128}
[2021-03-21 20:24:40.281] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00001\u0000/node_modules\u0000/opt/lampp/htdocs/lsapp/node_modules\u0000.gitignore\u00003\u0000/public/storage\u0000/opt/lampp/htdocs/lsapp/public/storage\u0000","stderr":"fatal: pathspec '/opt/lampp/htdocs/lsapp/public/storage/cover_images' is beyond a symbolic link\n","exitCode":128}
[2021-03-21 20:24:40.281] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00001\u0000/node_modules\u0000/opt/lampp/htdocs/lsapp/node_modules\u0000.gitignore\u00003\u0000/public/storage\u0000/opt/lampp/htdocs/lsapp/public/storage\u0000","stderr":"fatal: pathspec '/opt/lampp/htdocs/lsapp/public/storage/cover_images' is beyond a symbolic link\n","exitCode":128}
[2021-03-21 20:24:40.281] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00001\u0000/node_modules\u0000/opt/lampp/htdocs/lsapp/node_modules\u0000.gitignore\u00003\u0000/public/storage\u0000/opt/lampp/htdocs/lsapp/public/storage\u0000","stderr":"fatal: pathspec '/opt/lampp/htdocs/lsapp/public/storage/cover_images' is beyond a symbolic link\n","exitCode":128}
